,store,sido,gungu,store_address
300,경기파주시법원리점,경기,파주시,경기파주시법원읍사임당로791
301,경기파주시봉일천점,경기,파주시,경기도파주시조리읍송비말길22
302,경기파주시선유점,경기,파주시,경기파주시문산읍독서울1길22
303,경기파주시운정1점,경기,파주시,경기파주시와석순환로307
304,경기파주시운정3점,경기,파주시,경기도파주시한빛로9
305,경기파주시적성점,경기,파주시,경기파주시적성면청송로1020
306,경기파주시LCD점,경기,파주시,경기파주시월롱면엘씨디로8번길34
307,경기평택시비전1호점,경기,평택시,경기평택시중앙로213
308,경기평택시세교점,경기,평택시,경기평택시세교상가5길22
309,경기평택시소사벌점,경기,평택시,경기평택시비전6길28-5
310,경기평택시안중점,경기,평택시,경기도평택시안중읍안현로서3길91
311,경기평택시용이지구점,경기,평택시,경기도평택시현신로212
312,경기평택시이충장당점,경기,평택시,경기도평택시서정역로36번길70-9
313,경기평택시지산점,경기,평택시,경기도평택시지산로108-6
314,경기평택시청북점,경기,평택시,경기도평택시청북면안청로1길12
315,경기평택시팽성점[B],경기,평택시,경기도평택시팽성읍팽성대교길14
316,경기평택시포승점,경기,평택시,경기도평택시포승읍여술로43번길18
317,경기포천시가산점,경기,포천시,경기포천시가산면가산로324
318,경기포천시내촌점,경기,포천시,경기도포천시내촌면내촌로26
319,경기포천시송우점,경기,포천시,경기도포천시소흘읍봉솔로3길17
320,경기포천시신읍리점,경기,포천시,경기도포천시왕방로159
321,경기포천시양문점,경기,포천시,경기도포천시영중면양문로87-1
322,경기포천시운천점,경기,포천시,경기포천시영북면운천로16
323,경기포천시이동점,경기,포천시,경기도포천시이동면장암1길9-1
324,경기포천시일동점,경기,포천시,경기도포천시일동면화동로1063번길1-2
325,경기하남시덕풍점,경기,하남시,경기도하남시신평로101번길27
326,경기하남시미사1점,경기,하남시,경기하남시미사강변한강로220번길27
327,경기하남시신장점,경기,하남시,경기도하남시하남대로777번길37
328,경기화성시남양점,경기,화성시,경기도화성시남양시장로60
329,경기화성시동탄1호점,경기,화성시,경기화성시동탄지성로92
330,경기화성시동탄2호점,경기,화성시,경기도화성시동탄반석로39
331,경기화성시동탄3호점,경기,화성시,경기화성시여울로21
332,경기화성시동탄역점,경기,화성시,경기화성시동탄대로21가길4-31
333,경기화성시동탄청계점,경기,화성시,경기화성시동탄치동천로3길28-1
334,경기화성시병점1호점,경기,화성시,경기도화성시경기대로1010번길18
335,경기화성시봉담점,경기,화성시,경기화성시봉담읍오래2길5102호
336,경기화성시안녕점,경기,화성시,경기도화성시화산중앙로64번길3
337,경기화성시와우리점,경기,화성시,경기도화성시봉담읍와우로119번길36-5
338,경기화성시팔탄점,경기,화성시,경기화성시팔탄면구장길7
