,sotre,sido,gungu,store_address
267,경기용인시보라점,경기,용인시,경기도용인시기흥구한보라2로14번길7-19
268,경기용인시상갈점,경기,용인시,경기도용인시기흥구금화로108번길28
269,경기용인시상현점,경기,용인시,경기도용인시수지구만현로100
270,경기용인시서천점,경기,용인시,경기도용인시기흥구서천서로12번길4-10
271,경기용인시수지2지구점,경기,용인시,경기도용인시수지구정평로40-3
272,경기용인시신갈점,경기,용인시,경기도용인시기흥구용구대로2152번길39
273,경기용인시신봉점,경기,용인시,경기용인시수지구신봉1로48번길11뉴골드프라자
274,경기용인시양지점,경기,용인시,경기용인시처인구양지면남곡로35
275,경기용인시용인1호점,경기,용인시,경기도용인시처인구중부대로1343번길10-17
276,경기용인시죽전1호점,경기,용인시,경기도용인시수지구푸른솔로81
277,경기용인시죽전2호점,경기,용인시,경기용인시수지구죽전로255
278,경기용인시풍덕천점,경기,용인시,경기도용인시수지구풍덕천로172번길3-15
279,경기용인시흥덕지구점[B],경기,용인시,경기용인시기흥구흥덕1로50
280,경기의왕시내손동점,경기,의왕시,경기도의왕시복지로82
281,경기의왕시부곡점,경기,의왕시,경기도의왕시부곡중앙남6길86
282,경기의정부시가능2점,경기,의정부시,경기의정부시가능로39번길10
283,경기의정부시가능3점,경기,의정부시,경기도의정부시호국로1135번길25
284,경기의정부시금오점,경기,의정부시,경기도의정부시하금로25번길5
285,경기의정부시금오지구점,경기,의정부시,경기도의정부시청사로5번길8-17
286,경기의정부시녹양점,경기,의정부시,경기의정부시녹양로62번길72
287,경기의정부시망월사역점,경기,의정부시,경기도의정부시평화로196
288,경기의정부시민락용현점,경기,의정부시,경기의정부시용현로120번길3
289,경기의정부시신곡점,경기,의정부시,경기도의정부시시민로176
290,경기의정부시신시가지점,경기,의정부시,경기의정부시범골로82번길30
291,경기의정부시의정부1점,경기,의정부시,경기도의정부시호국로1298번길18
292,경기의정부시장암점,경기,의정부시,경기도의정부시장곡로322번길14-9
293,경기의정부시호원점,경기,의정부시,경기도의정부시평화로428번길14
294,경기이천시갈산점,경기,이천시,경기도이천시영창로314번길51
295,경기이천시관고동점,경기,이천시,경기이천시영창로66
296,경기이천시아미점,경기,이천시,경기이천시부발읍경충대로2039
297,경기파주시광탄점,경기,파주시,경기도파주시광탄면새뜰길7
298,경기파주시금촌2동점,경기,파주시,경기도파주시황골로69
299,경기파주시문산점,경기,파주시,경기도파주시문산읍문향로30
