,store,sido,gungu,store_address
400,경남창원시북면온천점,경남,창원시,경남창원시의창구북면천주로1165번길21
401,경남창원시사파점,경남,창원시,경남창원시성산구동산로194
402,경남창원시상남점,경남,창원시,경남창원시성산구토월로80
403,경남창원시석전점,경남,창원시,경남창원시마산회원구석전남8길59
404,경남창원시소답점,경남,창원시,경남창원시의창구읍성로17번길8
405,경남창원시양덕1호점,경남,창원시,경남창원시마산회원구양덕북10길8
406,경남창원시용원점,경남,창원시,경남창원시진해구안골로348
407,경남창원시월영점,경남,창원시,경남창원시마산합포구월영북로21
408,경남창원시중앙여좌점,경남,창원시,경남창원시진해구편백로14번길12-1
409,경남창원시진동점,경남,창원시,경남창원시마산합포구진동면삼진의거대로639
410,경남창원시창동점,경남,창원시,경남창원시마산합포구남성로130-1
411,경남창원시팔용점,경남,창원시,경남창원시의창구남산로1번길52
412,경남창원시풍호점,경남,창원시,경남창원시진해구풍호로61
413,경남창원시합성1호점,경남,창원시,경남창원시마산회원구합성동6길13
414,경남창원시회원점,경남,창원시,경남창원시마산회원구북성로166
415,경남창원시NC다이노스점,경남,창원시,경남창원시마산회원구삼호로63
416,경남통영시도남점,경남,통영시,경남통영시서송정1길32-3
417,경남통영시북신점,경남,통영시,경남통영시북신동해미당화목토길화목토0
418,경남통영시죽림점,경남,창원시,경남통영시광도면죽림3로43-11
419,경남하동군하동점,경남,하동군,경남하동군하동읍중앙로18
420,경남함안군군북점,경남,함안군,경남함안군군북면중암7길12
421,경남함안군함안점,경남,함안군,경남함안군가야읍함안대로555
422,경남함양군서하점,경남,함양군,경남함양군서하면함양남서로3938
423,경남함양군함양점,경남,함양군,경남함양군함양읍용평길8
424,경남합천군합천점,경남,합천군,경남합천군합천읍충효로98-17
425,경북경산시계양사동점,경북,경산시,경북경산시계양로8길38
426,경북경산시서부백천점,경북,경산시,경북경산시경산로28부영2차아파트상가103호
427,경북경산시영대점,경북,경산시,경북경산시대학로61길6-5
428,경북경산시옥산정평점,경북,경산시,경북경산시대학로16길31
429,경북경산시진량점,경북,경산시,경북경산시진량읍영청길15
430,경북경산시하양점,경북,경산시,경북경산시하양읍하양역길18
431,경북경주시강동점,경북,경주시,경북경주시강동면동해대로166-11
432,경북경주시건천점,경북,경주시,경북경주시건천읍대곡용명길24
433,경북경주시금장점,경북,경주시,경북경주시현곡면안현로68-3
434,경북경주시내남점,경북,경주시,경북경주시내남면이조중앙길13-1
435,경북경주시동천점,경북,경주시,경북경주시동천로30번길14-2
436,경북경주시성건점,경북,경주시,경북경주시금성로396번길5
437,경북경주시안강점,경북,경주시,경북경주시안강읍구부랑길42
438,경북경주시외동점,경북,경주시,경북경주시외동읍입실로1길58
439,경북경주시충효점,경북,경주시,경북경주시충효녹지길36-6
440,경북경주시황성점,경북,경주시,경북경주시황성로69번길38-6
441,경북고령군고령점,경북,고령군,경북고령군고령읍시장1길11
442,경북구미시공단비산점,경북,구미시,경상북도구미시비산로5길28
443,경북구미시봉곡도량점,경북,구미시,경북구미시도봉로3길3-3
444,경북구미시산동확장단지점,경북,구미시,경북구미시산동면신당인덕1로139
445,경북구미시상모사곡점,경북,구미시,경북구미시상사서로12길3
446,경북구미시선산점,경북,구미시,경북구미시선산읍남문로3길17
447,경북구미시송정원평점,경북,구미시,경북구미시금오산로22길15-14
448,경북구미시신평점,경북,구미시,경상북도구미시신비로26
449,경북구미시옥계점,경북,구미시,경북구미시산호대로25길26-3
450,경북구미시원호도량1동점,경북,구미시,경북구미시고아읍문장로22길20103호
451,경북구미시인동점,경북,구미시,경북구미시인동39길22-65
452,경북구미시임수황상점,경북,구미시,경북구미시인동북길25
453,경북구미시형곡점,경북,구미시,경북구미시형곡로90
454,경북김천시김천1점,경북,김천시,경북김천시김천로24-1
455,경북김천시덕곡율곡점,경북,김천시,경북김천시영남대로2040-6
456,경북김천시신음삼락점,경북,김천시,경북김천시시청로40
457,경북김천시아포점,경북,김천시,경북김천시아포읍한지2길64-4
458,경북문경시문경점,경북,문경시,경북문경시점촌로8
459,경북봉화군봉화점,경북,봉화군,경북봉화군봉화읍내성로1길41-1
460,경북상주시상주2호점,경북,상주시,경북상주시동수4길33제상가동101호
461,경북상주시함창점,경북,상주시,경북상주시함창읍함창시장2길2
